par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
13900,Center,Indiana,IN,12500,0.00224,0.00008,0.00024,0.00064,0.00016,0.00032,0.0004,0.0004,0.00008,0,0.00008,0,0,0,0,0,6361,0.0036158,0.0001572,0.0003144,0.0011005,0.0001572,0.0006288,0.000786,0.0004716,0.0001572,0,0.0001572,0,0,0,0,0,6139,0.0008145,0,0.0001629,0.0001629,0.0001629,0,0,0.0003258,0,0,0,0,0,0,0,0,1534,0.0006519,0,0,0,0.0006519,0,0,0,0,0,0,0,0,0,0,0,2166,0.001385,0,0,0.0009234,0,0.0004617,0,0,0,0,0,0,0,0,0,0,2853,0.000701,0,0,0,0,0.0003505,0.0003505,0,0,0,0,0,0,0,0,0,3277,0.0021361,0,0,0,0,0.0006103,0.0009155,0.0006103,0,0,0,0,0,0,0,0,2670,0.005618,0.0003745,0.0011236,0.0022472,0.0003745,0,0.0003745,0.0011236,0.0003745,0,0.0003745,0,0,0,0,0
14000,Muncie,Indiana,IN,24498,0.0014695,0,0.0001633,0.0001633,0.0004082,0.0000408,0.0000816,0.0005307,0.0000816,0,0,0,0,0,0,0,12510,0.0023181,0,0.0003197,0.0002398,0.0005596,0.0000799,0.0000799,0.0010392,0,0,0,0,0,0,0,0,11987,0.000584,0,0,0.0000834,0.0002503,0,0.0000834,0,0.0001668,0,0,0,0,0,0,0,3802,0.000526,0,0,0.000263,0,0,0,0.000263,0,0,0,0,0,0,0,0,4951,0.0008079,0,0,0.000202,0,0,0,0.0006059,0,0,0,0,0,0,0,0,5778,0.0015576,0,0.0001731,0,0.0006923,0,0,0.0005192,0.0001731,0,0,0,0,0,0,0,5736,0.001569,0,0.0003487,0.0001743,0.0006974,0,0,0.0003487,0,0,0,0,0,0,0,0,4231,0.0028362,0,0.0002364,0.0002364,0.0004727,0.0002364,0.0004727,0.0009454,0.0002364,0,0,0,0,0,0,0
14100,Fort Wayne,Indiana,IN,37157,0.0028258,0.0001346,0.0000807,0.0004306,0.0007266,0.0004575,0.0003499,0.0005652,0.0002153,0,0,0,0.0000538,0.0000269,0.0000538,0,18740,0.005016,0.0002668,0.0001601,0.0008004,0.0012807,0.0009072,0.0005336,0.0009605,0.0003735,0,0,0,0.0001067,0.0000534,0.0001067,0,18416,0.0005973,0,0,0.0000543,0.0001629,0,0.0001629,0.0001629,0.0000543,0,0,0,0,0,0,0,3902,0.0007688,0,0,0.0005126,0.0002563,0,0,0,0,0,0,0,0,0,0,0,6420,0.0012461,0,0,0.0001558,0.0003115,0.0001558,0.0003115,0.0003115,0,0,0,0,0,0,0,0,8803,0.002272,0.0002272,0,0.0002272,0.0006816,0.0004544,0.0002272,0.0004544,0.0002272,0,0,0,0.0001136,0,0.0001136,0,10313,0.0030059,0.000097,0.0001939,0.0005818,0.0006788,0.0003879,0.0003879,0.0005818,0.0001939,0,0,0,0,0.000097,0,0,7719,0.0055707,0.0002591,0.0001296,0.0006478,0.0014251,0.0010364,0.0006478,0.001166,0.0005182,0,0,0,0.0001296,0,0.0001296,0
14200,Indianapolis,Indiana,IN,91085,0.0025251,0.0001208,0.0001757,0.0006477,0.0005819,0.0002525,0.0002525,0.0004611,0.0001537,0,0.000011,0,0.0000549,0.000022,0.000022,0.000011,45842,0.0041883,0.00024,0.0002618,0.001178,0.0008071,0.0005017,0.0004145,0.0007635,0.0002618,0,0.0000218,0,0.0001091,0.0000436,0.0000436,0.0000218,45242,0.0008399,0,0.0000884,0.0001105,0.0003537,0,0.0000884,0.0001547,0.0000442,0,0,0,0,0,0,0,12864,0.0006219,0,0,0.0000777,0.0001555,0.0000777,0.0000777,0.0001555,0.0000777,0,0,0,0,0,0,0,15797,0.0008229,0.0000633,0.0000633,0.0001899,0.0001899,0.0001899,0.0000633,0.0001266,0,0,0,0,0.0000633,0,0,0,16960,0.0014741,0.000059,0,0.0005307,0.0003538,0.0001769,0,0.0002948,0.0001179,0,0.000059,0,0,0,0,0,20909,0.0028218,0.0002391,0.0003826,0.0006217,0.0004304,0.000287,0.0003348,0.0005261,0.0002391,0,0,0,0.0000478,0.0000478,0.0000957,0.0000478,24555,0.0050906,0.0001629,0.0002851,0.0013439,0.0013439,0.0004072,0.0005701,0.0008959,0.0002443,0,0,0,0.0001222,0.0000407,0,0
14300,Columbus,Indiana,IN,10051,0.0027858,0.000199,0.0000995,0.0006964,0.000398,0.000398,0.000398,0.000597,0.000199,0,0.0000995,0.0000995,0,0,0,0,5070,0.0045365,0.0003945,0,0.0013807,0.000789,0.0005917,0.000789,0.000789,0.0001972,0,0.0001972,0.0001972,0,0,0,0,4979,0.0010042,0,0.0002008,0,0,0.0002008,0,0.0004017,0.0002008,0,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,0.000461,0,0,0,0,0.000461,0,0,0,0,0,0,0,0,0,0,2530,0.0027668,0,0,0.001581,0,0.0003953,0,0.0003953,0.0003953,0,0,0,0,0,0,0,2434,0.0028759,0.0004108,0.0004108,0.0004108,0.0004108,0.0004108,0.0004108,0.0008217,0,0,0,0.0004108,0,0,0,0,1687,0.007706,0.0005928,0,0.0011855,0.0017783,0.0005928,0.0017783,0.0017783,0.0005928,0,0.0005928,0,0,0,0,0
14400,Terre Haute,Indiana,IN,15727,0.0020983,0,0.0001908,0.0005087,0.0004451,0.0003179,0.0002543,0.0001908,0.0001908,0,0,0,0,0,0,0,7991,0.0032537,0,0.0002503,0.0010011,0.0003754,0.0006257,0.0003754,0.0002503,0.0003754,0,0,0,0,0,0,0,7736,0.0009049,0,0.0001293,0,0.0005171,0,0.0001293,0.0001293,0,0,0,0,0,0,0,0,2493,0.0004011,0,0,0,0,0.0004011,0,0,0,0,0,0,0,0,0,0,3329,0.0009012,0,0,0.0003004,0,0.0003004,0.0003004,0,0,0,0,0,0,0,0,0,4053,0.0009869,0,0,0.0002467,0,0.0002467,0.0002467,0,0.0002467,0,0,0,0,0,0,0,3631,0.0030295,0,0.0002754,0.0002754,0.0011016,0,0.0002754,0.0005508,0.0005508,0,0,0,0,0,0,0,2221,0.0063035,0,0.0009005,0.0022512,0.0013507,0.0009005,0.0004502,0.0004502,0,0,0,0,0,0,0,0
14500,Lafayette,Indiana,IN,20475,0.0028816,0.0001465,0.0000977,0.0006838,0.0009768,0.0003907,0.0002442,0.000293,0.0001954,0,0.0000488,0,0,0,0,0.0000977,10544,0.004742,0.0001897,0.0001897,0.0012329,0.0015175,0.0007587,0.0003794,0.0004742,0.0001897,0,0.0000948,0,0,0,0,0.0000948,9931,0.0009063,0.0001007,0,0.0001007,0.0004028,0,0.0001007,0.0001007,0.0002014,0,0,0,0,0,0,0.0001007,2619,0.0007637,0,0.0003818,0,0.0003818,0,0,0,0,0,0,0,0,0,0,0,3822,0.0010466,0,0,0,0.0002616,0.0005233,0,0.0002616,0,0,0,0,0,0,0,0,5073,0.0017741,0,0,0.0001971,0.0007885,0.0001971,0.0001971,0.0003942,0,0,0,0,0,0,0,0,5366,0.0029817,0.0003727,0,0.0007454,0.0005591,0.0003727,0.0005591,0.0001864,0.0005591,0,0.0001864,0,0,0,0,0.0001864,3595,0.0077886,0.0002782,0.0002782,0.0025035,0.0030598,0.0008345,0.0002782,0.0005563,0.0002782,0,0,0,0,0,0,0.0002782
14600,Bloomington,Indiana,IN,15066,0.0022567,0.0000664,0.0000664,0.0003982,0.0006637,0.0003982,0.0002655,0.0003319,0.0001327,0,0.0000664,0,0,0,0,0,7703,0.0041542,0.0001298,0.0001298,0.0007789,0.0012982,0.0007789,0.0005193,0.0005193,0.0001298,0,0.0001298,0,0,0,0,0,7363,0.0002716,0,0,0,0,0,0,0.0001358,0.0001358,0,0,0,0,0,0,0,2355,0.0004246,0,0,0,0,0.0004246,0,0,0,0,0,0,0,0,0,0,3253,0.0009222,0,0,0.0003074,0.0006148,0,0,0,0,0,0,0,0,0,0,0,3694,0.0008121,0,0,0,0.0002707,0,0.0002707,0.0002707,0,0,0,0,0,0,0,0,3456,0.0034722,0.0002894,0,0.0008681,0.0005787,0.0008681,0,0.0008681,0.0002894,0,0.0002894,0,0,0,0,0,2308,0.0064991,0,0.0004333,0.0008666,0.0021664,0.0008666,0.0012998,0.0004333,0.0004333,0,0,0,0,0,0,0
14700,Evansville,Indiana,IN,25024,0.0033967,0.0002398,0.0001998,0.0007593,0.0003597,0.0004795,0.0004795,0.0008792,0.0002398,0,0.0000799,0,0.00004,0.00004,0,0.0000799,12551,0.0053382,0.0003984,0.000239,0.0012748,0.000478,0.0008764,0.0008764,0.0011951,0.0003984,0,0.0000797,0,0.0000797,0.0000797,0,0.0001593,12473,0.0014431,0.0000802,0.0001603,0.0002405,0.0002405,0.0000802,0.0000802,0.0005612,0.0000802,0,0.0000802,0,0,0,0,0,3047,0.0009846,0,0,0,0.0003282,0,0,0.0003282,0.0003282,0,0,0,0,0,0,0,4447,0.0013492,0,0,0.0006746,0.0002249,0,0,0.0004497,0,0,0,0,0,0,0,0,5945,0.0016821,0.0001682,0,0.0003364,0,0.0001682,0.0001682,0.0006728,0.0003364,0,0,0,0,0,0,0.0001682,6703,0.0046248,0.0002984,0.0005967,0.0010443,0.0004476,0.0005967,0.0007459,0.0010443,0.0001492,0,0.0001492,0,0,0.0001492,0,0,4882,0.0071692,0.0006145,0.0002048,0.0014338,0.0008193,0.0014338,0.001229,0.0016387,0.0004097,0,0.0002048,0,0.0002048,0,0,0.0002048
14801,Olney,Illinois,IL,3587,0.0019515,0.0002788,0.0002788,0,0.0008364,0,0.0008364,0,0,0,0,0,0,0.0002788,0,0,1815,0.0027548,0.000551,0.000551,0,0.000551,0,0.0016529,0,0,0,0,0,0,0.000551,0,0,1772,0.0011287,0,0,0,0.0011287,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0.0011236,0,0.0011236,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0.0019608,0,0,0,0,0,0.0019608,0,0,0,0,0,0,0,0,0,732,0.0027322,0,0,0,0.0027322,0,0,0,0,0,0,0,0,0,0,0,278,0.0071942,0.0035971,0,0,0.0035971,0,0.0035971,0,0,0,0,0,0,0.0035971,0,0
